"Index","Open","High","Low","Close","Volume","Open Interest"
2016-10-05,NA,NA,NA,NA,NA,NA
2016-10-06,NA,NA,NA,NA,NA,NA
2016-10-07,NA,NA,NA,NA,NA,NA
2016-10-10,80720,81860,80200,81660,284498,465102
2016-10-11,81470,82970,81470,82840,560184,490950
2016-10-12,82490,83140,81890,82350,513218,484610
2016-10-13,82760,83050,80900,81340,626050,492972
2016-10-14,81090,82240,80720,81590,502782,486616
2016-10-17,81700,82540,81420,81820,653362,497082
2016-10-18,81950,82010,80850,81680,443098,498742
2016-10-19,81700,82350,80410,80700,637110,513786
2016-10-20,80650,81290,79780,80750,509984,507158
2016-10-21,80400,80620,79360,79410,515654,538548
2016-10-24,79280,80700,79080,80410,463548,518322
2016-10-25,80200,81960,80200,81470,583810,512946
2016-10-26,81700,82300,80590,81050,539952,511784
2016-10-27,80950,81900,80450,80980,507290,508394
2016-10-28,81600,82690,81400,82570,616094,509508
2016-10-31,82650,84030,82100,83950,618874,544172
2016-11-01,83910,84340,82900,83560,581778,521976
2016-11-02,83410,84460,81800,82310,676190,499476
2016-11-03,82700,83470,82200,83280,375696,498794
2016-11-04,83500,84100,82800,82920,543200,492920
2016-11-07,82980,88430,82650,87830,1057918,530624
2016-11-08,87930,90860,87050,89890,1097124,511204
2016-11-09,89450,91670,88550,90840,1119850,506656
2016-11-10,92000,95600,91500,95600,1038744,509140
2016-11-11,95800,97230,93000,96140,1102576,484362
2016-11-14,96100,99800,89040,91680,1518068,399120
2016-11-15,91340,94170,89490,90680,870318,403730
2016-11-16,90890,92800,90600,92530,683878,400152
2016-11-17,91830,92250,90870,91240,582126,377758
2016-11-18,91490,91850,89800,90720,497672,366414
2016-11-21,90720,91800,88010,91330,650826,356944
2016-11-22,91600,94480,90770,93340,656142,342202
2016-11-23,93110,93370,92020,92970,395870,335988
2016-11-24,92780,96660,92350,94550,824562,313886
2016-11-25,94690,96250,93720,95200,525570,288094
2016-11-28,94990,97770,94120,97610,514246,274106
2016-11-29,96850,97480,92720,93210,504692,240038
2016-11-30,95010,95110,90150,91300,488862,384376
2016-12-01,91890,94100,91530,92980,489010,399788
2016-12-02,92960,93450,91500,92430,410014,412270
2016-12-05,92500,96170,92160,95440,755494,460848
2016-12-06,96200,96800,94620,95300,482512,449058
2016-12-07,95350,97170,94820,96790,605210,483402
2016-12-08,96660,97280,94360,95110,578928,485072
2016-12-09,95350,95700,92870,95150,578832,500744
2016-12-12,95150,97800,94260,94460,740996,496320
2016-12-13,94650,96060,94230,95960,456780,508200
2016-12-14,96230,96750,93500,96260,801636,540190
2016-12-15,96390,97200,94620,96130,763680,531784
2016-12-16,95200,96560,94720,95280,551742,532768
2016-12-19,94500,95420,93350,93390,525428,534284
2016-12-20,93000,93120,90830,92510,601532,542136
2016-12-21,92510,93400,92150,92660,381176,540978
2016-12-22,92490,92790,89750,90120,493564,556726
2016-12-23,89800,91360,89620,90150,459026,550220
2016-12-26,89940,90420,84190,84190,922890,546922
2016-12-27,84320,85850,83860,85550,485794,527964
2016-12-28,85500,87350,85250,85820,564542,538380
2016-12-29,85850,86530,84820,86350,467428,532506
2016-12-30,85850,86350,84920,85560,394134,534940
