,METFN3 1GQ
2014-06-11,17746.0
2014-06-13,18150.0
2014-06-18,18150.0
2014-06-19,18150.0
2014-06-25,18150.0
2014-06-26,18150.0
2014-06-30,17373.0
2014-07-01,18000.0
2014-07-02,18000.0
2014-07-04,18000.0
2014-07-07,18000.0
2014-07-08,18000.0
2014-07-10,18000.0
2014-07-14,18125.0
2014-07-16,18125.0
2014-07-18,18150.0
2014-07-21,18150.0
2014-07-28,18400.0
2014-07-29,18400.0
2014-07-31,18738.0
2014-08-07,18738.0
2014-08-08,18738.0
2014-08-22,18738.0
2014-08-25,18738.0
2014-08-26,18738.0
2014-08-27,18738.5
2014-08-29,18738.5
2014-09-08,18739.0
2014-09-09,18739.0
2014-09-10,18739.0
2014-09-11,18739.0
2014-09-12,18739.0
2014-09-17,18738.5
2014-09-23,18739.0
2014-09-25,18738.0
2014-09-26,18738.0
2014-09-29,18629.0
2014-09-30,18619.5
2014-10-01,18594.5
2014-10-02,18500.0
2014-10-03,18500.0
2014-10-06,18500.0
2014-10-08,18446.0
2014-10-09,18446.0
2014-10-10,18446.0
2014-10-13,18350.0
2014-10-14,18350.0
2014-10-15,18000.0
2014-10-17,18000.0
2014-10-20,18000.0
2014-10-24,18000.0
2014-10-27,18000.0
2014-10-29,18000.0
2014-10-30,18000.0
2014-10-31,17925.0
2014-11-03,17925.0
2014-11-04,17925.0
2014-11-05,17925.0
2014-11-06,17925.0
2014-11-07,17925.0
2014-11-10,17850.0
2014-11-11,17850.0
2014-11-13,17850.0
2014-11-14,17300.0
2014-11-20,17153.9
2014-11-21,17153.9
2014-11-24,17125.0
2014-11-28,17125.0
2014-12-01,17000.0
2014-12-02,16997.6
2014-12-08,16997.6
2014-12-09,16767.5
2014-12-10,16334.6
2014-12-11,16334.6
2014-12-12,16334.6
2014-12-16,16072.2
2014-12-18,16072.2
2014-12-31,16094.0
2015-01-05,17500.0
2015-01-08,17086.0
2015-01-09,16600.0
2015-01-12,16550.0
2015-01-14,16250.0
2015-01-15,16250.0
2015-01-16,16169.2
2015-01-19,16000.0
2015-01-21,16000.0
2015-01-22,16000.0
2015-01-26,16000.0
2015-01-27,16000.0
2015-01-28,16000.0
2015-01-30,16000.0
2015-02-04,16000.0
2015-02-05,16000.0
2015-02-06,16000.0
2015-02-09,16000.0
2015-02-11,16000.0
2015-02-13,16000.0
2015-02-17,16000.0
2015-02-19,16000.0
2015-02-23,15991.7
2015-02-27,15991.7
2015-03-02,15991.7
2015-03-03,15991.7
2015-03-04,15991.7
2015-03-06,15991.7
2015-03-09,15991.7
2015-03-10,15991.7
2015-03-11,15991.7
2015-03-12,15887.7
2015-03-13,15887.7
2015-03-17,15646.0
2015-03-18,15451.5
2015-03-19,15451.5
2015-03-20,15451.5
2015-03-24,15451.5
2015-03-25,15451.5
2015-03-26,15307.5
2015-03-27,15251.5
2015-03-30,15251.5
2015-03-31,15251.5
2015-04-02,16250.0
2015-04-07,16250.0
2015-04-08,16250.0
2015-04-10,16250.0
2015-04-14,16250.0
2015-04-15,15750.0
2015-04-20,15750.0
2015-04-22,15466.0
2015-04-28,15466.0
2015-04-29,15466.0
2015-04-30,15466.0
2015-05-06,15466.0
2015-05-07,15466.0
2015-05-08,15396.4
2015-05-11,15466.0
2015-05-12,15396.4
2015-05-14,15396.4
2015-05-15,15180.4
2015-05-19,15180.4
2015-05-22,15180.4
2015-05-25,15180.4
2015-05-26,15180.4
2015-05-28,15000.0
2015-05-29,15000.0
2015-06-01,15000.0
2015-06-05,15000.0
2015-06-08,14800.0
2015-06-12,14800.0
2015-06-16,14800.0
2015-06-17,14800.0
2015-06-18,14800.0
2015-06-19,14800.0
2015-06-22,14450.0
2015-06-23,14150.0
2015-06-24,14150.0
2015-06-25,14150.0
2015-06-26,14150.0
2015-06-29,14150.0
2015-06-30,14150.0
2015-07-01,15250.0
2015-07-02,15250.0
2015-07-03,15500.0
2015-07-06,15500.0
2015-07-10,14915.0
2015-07-13,14330.0
2015-07-14,14330.0
2015-07-15,14330.0
2015-07-24,14250.0
2015-07-28,14125.0
2015-07-31,13875.0
2015-08-04,13875.0
2015-08-06,13875.0
2015-08-10,14000.0
2015-08-11,14000.0
2015-08-12,14000.0
2015-08-14,14000.0
2015-08-18,14000.0
2015-08-20,14000.0
2015-08-21,14000.0
2015-08-24,13625.0
2015-08-26,12685.0
2015-08-27,12685.0
2015-08-31,12587.5
2015-09-01,11675.0
2015-09-02,11420.0
2015-09-03,11420.0
2015-09-04,11420.0
2015-09-07,11255.0
2015-09-09,11092.5
2015-09-11,11075.5
2015-09-15,11075.5
2015-09-23,11000.5
2015-09-24,11000.5
2015-09-28,11000.5
2015-09-29,11000.5
2015-09-30,11000.5
2015-10-01,11701.0
2015-10-05,11600.0
2015-10-06,11250.0
2015-10-07,11250.0
2015-10-08,11250.0
2015-10-09,10819.0
2015-10-12,11000.0
2015-10-14,11000.0
2015-10-16,11000.0
2015-10-19,11000.0
2015-10-27,10819.0
2015-10-28,10819.0
2015-10-29,10819.0
2015-11-09,10638.0
2015-11-11,10479.0
2015-11-12,10479.0
2015-11-24,10638.0
2015-11-25,10479.0
2015-11-30,10479.0
2015-12-03,10479.0
2015-12-04,10479.0
2015-12-08,10596.5
2015-12-09,10596.5
2015-12-15,10596.5
2015-12-16,10596.5
2015-12-18,10638.0
2015-12-21,10596.5
2015-12-22,10596.5
2015-12-23,10596.5
2015-12-30,10596.5
2015-12-31,10819.0
2016-01-01,9750.0
2016-01-13,9750.0
2016-01-14,9375.0
2016-01-18,9225.0
2016-01-19,9107.0
2016-01-20,8882.0
