,LSPB
1991-04-15,70225.0
1991-04-18,71225.0
1991-04-22,71850.0
1991-04-25,72375.0
1991-04-29,72750.0
1991-05-02,72875.0
1991-05-09,74950.0
1991-05-13,74700.0
1991-05-16,74675.0
1991-05-20,74150.0
1991-05-23,73350.0
1991-05-30,76325.0
1991-06-03,76375.0
1991-06-06,76500.0
1991-06-10,75875.0
1991-06-13,78750.0
1991-06-17,78650.0
1991-06-20,79150.0
1991-06-24,79025.0
1991-06-27,79550.0
1991-07-01,78850.0
1991-07-04,79350.0
1991-07-08,78925.0
1991-07-11,83825.0
1991-07-15,83975.0
1991-07-18,83950.0
