,LEZS
2001-01-08,191075.0
2001-01-09,191750.0
2001-01-10,191525.0
2001-01-11,190500.0
2001-01-12,190300.0
2001-01-15,189425.0
2001-01-16,189100.0
2001-01-17,188475.0
2001-01-18,188100.0
2001-01-19,187800.0
2001-01-22,187600.0
2001-01-23,187550.0
2001-01-24,189150.0
2001-01-25,189125.0
2001-01-26,188825.0
2001-01-29,188375.0
2001-01-30,188225.0
2001-01-31,187975.0
2001-02-01,188600.0
2001-02-02,188425.0
2001-02-05,188850.0
2001-02-07,232425.0
2001-02-08,231775.0
2001-02-09,231650.0
2001-02-12,231075.0
2001-02-13,230900.0
2001-02-14,231375.0
2001-02-15,230475.0
2001-02-19,230175.0
2001-02-20,232175.0
2001-02-21,233575.0
2001-02-22,234825.0
2001-02-23,234825.0
2001-02-26,234350.0
2001-02-27,234100.0
2001-02-28,234000.0
2001-03-01,233550.0
2001-03-02,234025.0
2001-03-05,234100.0
2001-03-06,234275.0
2001-03-07,235300.0
2001-03-08,235050.0
2001-03-09,234900.0
2001-03-12,234900.0
2001-03-13,234425.0
2001-03-14,234850.0
2001-03-15,235125.0
2001-03-16,235075.0
2001-03-19,234375.0
2001-03-20,236950.0
2001-03-21,237400.0
2001-03-22,237075.0
2001-03-23,236900.0
2001-03-26,236925.0
2001-03-27,236400.0
2001-03-28,236225.0
2001-03-29,236325.0
2001-03-30,237400.0
2001-04-02,238525.0
2001-04-03,238300.0
2001-04-04,237800.0
2001-04-05,240150.0
2001-04-06,240075.0
2001-04-09,239875.0
2001-04-10,243925.0
2001-04-11,243500.0
2001-04-12,243300.0
2001-04-17,245675.0
2001-04-18,244750.0
2001-04-19,243750.0
2001-04-20,245600.0
2001-04-23,245900.0
2001-04-24,245475.0
2001-04-25,245050.0
2001-04-26,247600.0
2001-04-27,247750.0
2001-04-30,247950.0
2001-05-01,247950.0
2001-05-02,247325.0
2001-05-03,248175.0
2001-05-04,253950.0
2001-05-08,254800.0
2001-05-09,257050.0
2001-05-10,257050.0
2001-05-11,257150.0
2001-05-14,257150.0
2001-05-15,256750.0
2001-05-16,255900.0
2001-05-17,255900.0
2001-05-18,255650.0
2001-05-21,255200.0
2001-05-22,255150.0
2001-05-23,259200.0
2001-05-24,259625.0
2001-05-25,262025.0
2001-05-29,263150.0
2001-05-30,264375.0
2001-05-31,266725.0
2001-06-01,267300.0
2001-06-04,267850.0
2001-06-05,268300.0
2001-06-06,269025.0
2001-06-07,273075.0
2001-06-08,278725.0
2001-06-11,283450.0
2001-06-12,287325.0
2001-06-13,286825.0
2001-06-14,285925.0
2001-06-15,285700.0
2001-06-18,285525.0
2001-06-19,285300.0
2001-06-20,285300.0
2001-06-21,284900.0
2001-06-22,285100.0
2001-06-25,284650.0
2001-06-26,285425.0
2001-06-27,290550.0
2001-06-28,291050.0
2001-06-29,290325.0
2001-07-02,290050.0
2001-07-03,292000.0
2001-07-04,291950.0
2001-07-05,293850.0
2001-07-06,295500.0
2001-07-09,297725.0
2001-07-10,299575.0
2001-07-11,298950.0
2001-07-12,300350.0
2001-07-13,301375.0
2001-07-16,302050.0
2001-07-17,301725.0
2001-07-18,301200.0
2001-07-19,301200.0
2001-07-20,304575.0
2001-07-23,304625.0
2001-07-24,305100.0
2001-07-25,306225.0
2001-07-26,305725.0
2001-07-27,304775.0
2001-07-30,305075.0
2001-07-31,304975.0
2001-08-01,304675.0
2001-08-02,304525.0
2001-08-03,304200.0
2001-08-06,304525.0
2001-08-07,303975.0
2001-08-08,304100.0
2001-08-09,303900.0
2001-08-10,304025.0
2001-08-13,304425.0
2001-08-14,308050.0
2001-08-15,321200.0
2001-08-16,338000.0
2001-08-17,339150.0
2001-08-20,341825.0
2001-08-21,342625.0
2001-08-22,342975.0
2001-08-23,343100.0
2001-08-24,344575.0
2001-08-28,344950.0
2001-08-29,345525.0
2001-08-30,344975.0
2001-08-31,345425.0
2001-09-03,345975.0
2001-09-04,346250.0
2001-09-05,348950.0
2001-09-06,348825.0
2001-09-07,350225.0
2001-09-10,351500.0
2001-09-11,352850.0
2001-09-12,354625.0
2001-09-13,353800.0
2001-09-14,355475.0
2001-09-17,355475.0
2001-09-18,356650.0
2001-09-19,356000.0
2001-09-20,355225.0
2001-09-21,355025.0
2001-09-24,354200.0
2001-09-25,355850.0
2001-09-26,357325.0
2001-09-27,358200.0
2001-09-28,363675.0
2001-10-01,363150.0
2001-10-02,364100.0
2001-10-03,381200.0
2001-10-04,380975.0
2001-10-05,382475.0
2001-10-08,386200.0
2001-10-09,386450.0
2001-10-10,386800.0
2001-10-11,386600.0
2001-10-12,385400.0
2001-10-15,390750.0
2001-10-16,390725.0
2001-10-17,392275.0
2001-10-18,390300.0
2001-10-19,391425.0
2001-10-22,390350.0
2001-10-23,390375.0
2001-10-24,393750.0
2001-10-25,398975.0
2001-10-26,399600.0
2001-10-29,397750.0
2001-10-30,396800.0
2001-10-31,396500.0
2001-11-01,394350.0
2001-11-02,391500.0
2001-11-05,391250.0
2001-11-06,391225.0
2001-11-07,397650.0
2001-11-08,398475.0
2001-11-09,398225.0
2001-11-12,399025.0
2001-11-13,399275.0
2001-11-14,398850.0
2001-11-15,398500.0
2001-11-16,398200.0
2001-11-19,398375.0
2001-11-20,397425.0
2001-11-21,397225.0
2001-11-22,397000.0
2001-11-23,397000.0
2001-11-26,398825.0
2001-11-27,401650.0
2001-11-28,401525.0
2001-11-29,405200.0
2001-11-30,404650.0
2001-12-03,403750.0
2001-12-04,403625.0
2001-12-05,403125.0
2001-12-06,402750.0
2001-12-07,402650.0
2001-12-10,402650.0
2001-12-11,402150.0
2001-12-12,403000.0
2001-12-13,403000.0
2001-12-14,402900.0
2001-12-17,411075.0
2001-12-18,411700.0
2001-12-19,412875.0
2001-12-20,422325.0
2001-12-21,423425.0
2001-12-27,424525.0
2001-12-28,424300.0
2002-01-02,424025.0
2002-01-03,424700.0
2002-01-04,425475.0
2002-01-07,425400.0
2002-01-08,430875.0
2002-01-09,441750.0
2002-01-10,455025.0
2002-01-11,455600.0
2002-01-14,456725.0
2002-01-15,457500.0
2002-01-16,459100.0
2002-01-17,465700.0
2002-01-18,459700.0
2002-01-21,460775.0
2002-01-22,460925.0
2002-01-23,460925.0
2002-01-24,461725.0
2002-01-25,461175.0
2002-01-28,460875.0
2002-01-29,464125.0
2002-01-30,465325.0
2002-01-31,465825.0
2002-02-01,465775.0
2002-02-04,465625.0
2002-02-05,465300.0
2002-02-06,465700.0
2002-02-07,466050.0
2002-02-08,467325.0
2002-02-11,469275.0
2002-02-12,470925.0
2002-02-13,471450.0
2002-02-14,471425.0
2002-02-15,473300.0
2002-02-18,467750.0
2002-02-19,468150.0
2002-02-20,468525.0
2002-02-21,468475.0
2002-02-22,469000.0
2002-02-25,470225.0
2002-02-26,470375.0
2002-02-27,471150.0
2002-02-28,471700.0
2002-03-01,478600.0
2002-03-04,477775.0
2002-03-05,477525.0
2002-03-06,477800.0
2002-03-07,477725.0
2002-03-08,480275.0
2002-03-11,481325.0
2002-03-12,483425.0
2002-03-13,490750.0
2002-03-14,499450.0
2002-03-15,504600.0
2002-03-18,503525.0
2002-03-19,507925.0
2002-03-20,508550.0
2002-03-21,508850.0
2002-03-22,509150.0
2002-03-25,515450.0
2002-03-26,516325.0
2002-03-27,518475.0
2002-03-28,521025.0
2002-04-02,522375.0
2002-04-03,528200.0
2002-04-04,528625.0
2002-04-05,525825.0
2002-04-08,525900.0
2002-04-09,525900.0
2002-04-10,525600.0
2002-04-11,528575.0
2002-04-12,532350.0
2002-04-15,526925.0
2002-04-16,527525.0
2002-04-17,530350.0
2002-04-18,530025.0
2002-04-19,529875.0
2002-04-22,530000.0
2002-04-23,530150.0
2002-04-24,529950.0
2002-04-25,529350.0
2002-04-26,535800.0
2002-04-29,536850.0
2002-04-30,539200.0
2002-05-01,541050.0
2002-05-02,546100.0
2002-05-03,554075.0
2002-05-07,550650.0
2002-05-08,554375.0
2002-05-09,561475.0
2002-05-10,571500.0
2002-05-13,569600.0
2002-05-14,574850.0
2002-05-15,573025.0
2002-05-16,574100.0
2002-05-17,574375.0
2002-05-20,579650.0
